posted_date,applied,title,company,location,salary_preview,job_link,search_criteria,description,hash_id
03/07/24,No,"Software Engineer, Early Career","Viasat, Inc.","Carlsbad, CA 92009 
(North Beach area)","$84,600 - $147,000 a year",https://www.indeed.com/rc/clk?jk=c001397d789f06de&bb,Software Engineer|California||(fulltime)|30|3,"As an Early Career full stack software developer, you will be responsible for developing and maintaining both the front-end and back-end of our production…
Posted
Posted 6 days ago·More...",7b39e8590423383f60b3df57aa3997c05ede90e88d4ff431b3b4fddfe55a8b06
03/08/24,No,Web UI Engineer (L5) - Games UI,Netflix,"Los Gatos, CA",N/A,https://www.indeed.com/rc/clk?jk=e6aec28a22a797cb&bb,Software Engineer|California||(fulltime)|30,"Keep a pulse on cutting-edge Web and TV technologies and software engineering practices, and modernize the code base to accelerate innovation velocity while…
Posted
Posted 4 days ago·More...",0617c02512b2f474cc6ffe3904aa35c19ef255e9ad5a6740179772d897b52dd5
03/04/24,No,Software Engineer (Entry Level),AP Wireless Infrastructure Partners LLC,"La Jolla, CA 92037",N/A,https://www.indeed.com/rc/clk?jk=5aa2b2200f286973&bb,Software Engineer|California||(fulltime)|30|3,"Revisits the software development process to rectify bugs and address stakeholder concerns, ensuring a continual improvement cycle.
Posted
Posted 9 days ago·More...",e4ec6ec3ac89fd965d1500d87471b08193482fadd93fe77e00ba1d143099e137
03/08/24,No,Software Development Engineer,Adobe,"San Francisco, CA 94103 
(Mission Bay area)",N/A,https://www.indeed.com/rc/clk?jk=8e72285c4ea348ba&bb,Software Engineer|California||(fulltime)|30|3,"This architecture ensures a seamless user experience with a common set of interfaces and interactions that users have come to rely on.
Posted
Posted 5 days ago·More...",7fb8094a8cd0e084f55c7ce9cd477b28d9c6041ed679c497b0771138793e838f
03/07/24,No,Junior Software Developer (Python) (Hybrid Remote),Reli.,"Hybrid remote in Los Angeles, CA","$65,000 a year",https://www.indeed.com/rc/clk?jk=241f02b607af21fe&bb,Software Engineer|California||(fulltime)|30,"15 Days PTO to Start + 1 additional day per year working at Reli.
We’re looking for a Junior Software Developer who can help with developing scripts and tools…
Employer
Active 5 days ago·More...",4678a621c4658dfccb669d6a83fef8040a775f0456df3b8b3707137c0e3aed02
02/14/24,No,"Software Engineer, Recruiting Systems",Tesla,"Palo Alto, CA",N/A,https://www.indeed.com/rc/clk?jk=c7145c67b42051de&bb,Software Engineer|California||(fulltime)|30,"$96,000 - $276,000/annual salary + cash and stock awards + benefits.
Along with competitive pay, as a full-time Tesla employee, you are eligible for the…
Posted
Posted 27 days ago·More...",509519f9eea1171bcc96abdaea609cdc50f8b200a72536c5e4ca2775a757d6cd
02/21/24,No,Software Development Engineer I,"Yardi Systems, Inc.","Santa Barbara, CA","$113,000 a year",https://www.indeed.com/rc/clk?jk=7d7248426c3b0474&bb,Software Engineer|California||(fulltime)|30,"Adheres to Department policies, procedures and standards in the development and implementation of software.
Be part of a great team and collaborate with Breeze…
Posted
Posted 21 days ago·More...",18a4352af5bc98708ef51c343260496fdc2b4ae134d9e26cee23592b64aa00ae
03/01/24,No,Software Engineer,JPMorgan Chase & Co,"Palo Alto, CA 94304","$170,186 - $215,000 a year",https://www.indeed.com/rc/clk?jk=7f5932a7f3b8a199&bb,Software Engineer|California||(fulltime)|30,"Duties: Build machine learning systems and quantitative models for detecting payment fraud, merchant fraud, and merchant risk.
Posted
Posted 11 days ago·More...",3611389208a14061f30226c1aea816095d6f21f1d832dbb0c6890d17176bcff4
02/27/24,No,Fullstack Software Engineer,PermitFlow,"Remote in Ontario, CA","$125,000 - $190,000 a year",https://www.indeed.com/rc/clk?jk=8ed730b76bd9735b&bb,Software Engineer|California||(fulltime)|30,"Owning and shipping features from inception to implementation.
Developing, iterating, and refining extensible and flexible workflow tooling for permitting.
Posted
Posted 14 days ago·More...",21f86f1af8e075f48cc1c1fe6142bfc4714846cd6a9b30975e2df08b4b63f9d2
03/06/24,No,Software Engineer 1 - University Graduate,PayPal,"San Jose, CA",N/A,https://www.indeed.com/rc/clk?jk=326e19506683581c&bb,Software Engineer|California||(fulltime)|30|3,"Code high-volume and scalable software (front-end and/or back-end focused).
We have great benefits including a flexible work environment, employee shares…
Posted
Posted 7 days ago·More...",a360677ca3c086bec21ab5ab34b91496f59211378692d0b66b099df4e9c1dbb5
03/04/24,No,AI Software Engineer,University of California - Irvine,"Remote in Irvine, CA",N/A,https://www.indeed.com/rc/clk?jk=27fed2474341da58&bb,Software Engineer|California||(fulltime)|30,"Capable of understanding customer requirements and converting them into user stories, acceptance criteria, and software designs, ensuring the final product…
Posted
Posted 8 days ago·More...",347b350fabd6ea36ecba65eaa2402a2129e5e6925194e5e1ceb5e0f266870fa6
